SKU,Regular price,Sale price
100009942,  -   ,  -   
100009941,  -   ,  -   
100009940,  -   ,  -   
100009939,  -   ,  -   
100009938,  -   ,  -   
100009937,  -   ,  -   
100009126,  29.06 ,  22.35 
100009125,  18.29 ,  9.75 
100009124,  39.43 ,  22.74 
100009123,  33.49 ,  16.52 
&gt;,  -   ,  -   
100005020,  235.63 ,  211.05 
100005022,  24.75 ,  19.04 
100005023,  163.12 ,  146.11 
100005024,  178.52 ,  159.91 
100005025,  106.13 ,  95.06 
100005026,  29.27 ,  26.21 
100005027,  35.09 ,  17.69 
100005028,  50.54 ,  18.32 
100005029,  35.09 ,  17.69 
100005031,  119.66 ,  53.96 
100005034,  36.35 ,  32.56 
100005036,  119.66 ,  49.37 
100005038,  42.81 ,  23.36 
100005039,  21.57 ,  16.10 
100005040,  65.98 ,  34.16 
100005041,  38.95 ,  19.32 
100005042,  27.37 ,  20.42 
100005043,  60.19 ,  35.32 
100005044,  41.44 ,  37.11 
100005047,  65.98 ,  30.08 
100005048,  38.57 ,  32.01 
100005049,  92.34 ,  82.71 
100005050,  26.40 ,  10.64 
100005051,  31.22 ,  12.87 
100005052,  31.39 ,  24.14 
100005053,  22.42 ,  17.25 
100005054,  51.57 ,  46.19 
100005057,  32.96 ,  29.53 
100005058,  61.31 ,  54.91 
100005059,  35.09 ,  13.37 
100005060,  126.00 ,  112.86 
100005064,  45.10 ,  40.40 
100005065,  20.62 ,  14.87 
100005066,  19.69 ,  15.15 
100005067,  197.12 ,  151.63 
100005068,  37.99 ,  21.82 
100005069,  94.64 ,  84.77 
100005070,  69.07 ,  61.87 
100005074,  101.97 ,  91.34 
100005079,  44.74 ,  39.18 
100005080,  49.57 ,  18.07 
100005081,  61.15 ,  54.77 
100005082,  34.47 ,  30.88 
100005085,  37.99 ,  27.39 
100005088,  39.91 ,  36.33 
100005089,  37.99 ,  33.88 
100005092,  72.74 ,  67.61 
100005094,  74.67 ,  67.61 
100005095,  52.46 ,  43.05 
100005096,  40.88 ,  34.69 
100005097,  23.51 ,  16.53 
100005098,  24.47 ,  13.66 
100005099,  25.43 ,  12.68 
100005100,  31.91 ,  11.54 
100005101,  23.51 ,  14.78 
100005104,  31.22 ,  22.85 
100005105,  89.82 ,  32.12 
100005107,  45.60 ,  40.84 
100005110,  25.70 ,  25.28 
100005112,  35.09 ,  26.50 
100005116,  62.12 ,  42.77 
100005117,  31.22 ,  20.29 
100005118,  23.51 ,  23.50 
100005119,  54.40 ,  30.22 
100005120,  36.97 ,  33.11 
100005121,  98.74 ,  88.44 
100005122,  62.36 ,  55.86 
100005124,  33.15 ,  29.69 
100005125,  942.70 ,  367.62 
100005126,  82.27 ,  63.29 
100005130,  55.97 ,  43.05 
100005133,  33.16 ,  21.97 
100005138,  41.85 ,  13.85 
100005139,  69.84 ,  55.30 
100005140,  -   ,  -   
100005141,  94.68 ,  74.50 
100005142,  55.33 ,  36.00 
