Z,Regular price,Sale price
100000001,  48.49 ,  38.16 
100000002,  39.94 ,  28.70 
100000003,  49.40 ,  38.00 
100000006,  50.54 ,  29.88 
100000007,  35.54 ,  29.57 
100000008,  66.31 ,  60.25 
100000010,  58.23 ,  52.15 
100000011,  128.82 ,  99.09 
100000014,  43.78 ,  41.21 
100000016,  43.78 ,  41.21 
100000018,  97.05 ,  86.92 
100000019,  51.30 ,  45.94 
100000020,  46.53 ,  34.01 
100000021,  27.37 ,  27.37 
100000023,  67.77 ,  60.70 
100000024,  31.22 ,  26.60 
100000025,  85.29 ,  82.02 
100000026,  26.40 ,  21.86 
100000027,  58.26 ,  44.82 
100000029,  43.23 ,  41.39 
100000032,  141.40 ,  126.66 
100000033,  33.58 ,  25.86 
100000034,  31.22 ,  21.94 
100000035,  59.72 ,  51.60 
100000036,  40.88 ,  37.37 
100000037,  50.93 ,  50.30 
100000039,  52.46 ,  33.19 
100000040,  100.73 ,  67.49 
100000041,  149.01 ,  101.79 
100000042,  41.85 ,  24.53 
100000044,  70.70 ,  63.33 
100000045,  141.40 ,  126.66 
100000046,  82.20 ,  63.23 
100000047,  31.86 ,  24.51 
100000048,  80.35 ,  61.81 
100000049,  46.68 ,  28.91 
100000050,  89.15 ,  58.93 
100000052,  51.76 ,  46.36 
100000053,  38.20 ,  34.22 
100000054,  37.51 ,  28.86 
100000057,  13.70 ,  13.68 
100000058,  45.68 ,  35.14 
100000062,  87.21 ,  68.19 
100000064,  91.17 ,  71.74 
100000065,  28.67 ,  25.65 
100000067,  31.22 ,  23.28 
100000068,  58.26 ,  47.67 
100000069,  34.12 ,  25.90 
100000070,  31.53 ,  29.20 
100000071,  84.15 ,  66.23 
100000072,  13.75 ,  11.27 
100000073,  23.31 ,  22.54 
100000074,  30.05 ,  27.14 
100000075,  80.59 ,  66.64 
100000076,  55.33 ,  47.97 
100000077,  96.87 ,  76.23 
100000078,  52.12 ,  40.09 
100000079,  16.27 ,  16.11 
100000081,  36.65 ,  31.73 
100000082,  68.51 ,  63.47 
100000083,  36.52 ,  28.74 
100000084,  27.37 ,  22.59 
100000085,  50.54 ,  46.28 
100000086,  35.09 ,  27.32 
100000090,  28.54 ,  20.68 
100000091,  31.22 ,  22.02 
100000093,  59.71 ,  43.76 
100000094,  33.34 ,  22.64 
100000095,  61.91 ,  38.87 
100000096,  38.95 ,  35.48 
100000097,  26.40 ,  14.45 
100000098,  26.40 ,  16.26 
100000100,  39.45 ,  31.04 
100000102,  20.15 ,  20.15 
100000103,  29.30 ,  18.87 
100000104,  54.40 ,  38.61 
100000105,  35.09 ,  21.88 
100000106,  24.55 ,  15.72 
100000107,  18.58 ,  16.91 
100000108,  12.88 ,  9.79 
100000109,  21.09 ,  18.89 
100000110,  28.82 ,  28.32 
100000111,  24.47 ,  19.30 
100000112,  44.74 ,  39.52 
100000113,  28.52 ,  21.94 
100000115,  129.59 ,  99.68 
100000117,  32.25 ,  29.51 
100000118,  59.72 ,  48.73 
100000119,  114.66 ,  96.58 
100000124,  57.53 ,  33.53 
100000125,  84.15 ,  66.23 
100000126,  24.93 ,  19.18 
100000127,  42.81 ,  38.36 
100000128,  30.80 ,  27.59 
100000129,  63.29 ,  56.69 
